S_No,S_Code
865,TBH
866,HMY
867,NLP
868,GOM
869,DMC
870,SPTR
871,TQM
872,MZS
873,BOR
874,GDA
875,DHD
876,MGN
877,BMI
878,KUH
879,NAD
880,MEP
881,VMA
882,CMU
883,SVA
884,SGZ
885,GOH
886,BWM
887,JHW
888,RMA
889,MKX
890,DKNT
891,KOTA
892,LKE
893,IDG
894,GGC
895,SMVJ
896,HAN
897,BXN
898,RBS
899,FTS
900,KLB
901,IDH
902,JAB
903,SKB
904,BNT
905,PHD
906,LJN
907,BNZ
908,GTNR
909,BUW
910,JLD
911,CLJ
912,MUR
913,MSW
914,BV
915,MHH
916,SWA
917,PPC
918,PNYA
919,HIR
920,MAI
921,THDR
922,UNL
923,SAE
924,BCA
925,DSS
926,NAZJ
927,UJP
928,KPGM
929,XX-PUV
930,GRL
931,BNR
932,NYO
933,DGA
934,KPS
935,DDP
936,EM
937,CW
938,DDA
939,ZRD
940,MW
941,BTK
942,BHTR
943,BTT
944,CC
945,KEMR
946,BLOR
947,RUPC
948,HLDD
949,LKU
950,HDW
951,KGM
952,MDN
953,CDGR
954,VSU
955,BQA
956,ADRA
957,BURN
958,NH
959,SPP
960,MNO
961,STLR
962,SIP
963,STW
964,DPA
965,PLG
966,VR
967,BVC
968,BVP
969,SOJN
970,SGD
971,DLJ
972,BTD
973,RUR
974,LM
975,JVN
976,STA
977,MYR
978,MLGH
979,BUDI
980,GQL
981,KPTN
982,BTE
983,AST
984,SHU
985,WJR
986,MCN
987,GYM
988,AB
989,KPN
990,BWT
991,MLO
992,DKN
993,WFD
994,KJM
995,BNCE
996,BNC
997,YPR
998,MWM
999,JCL
1000,PKD
1001,GBD
1002,DBU
1003,YNK
1004,GPB
1005,DBG
1006,MZP
1007,BPRD
1008,BHP
1009,KCVL
1010,CAPE
1011,PASA
1012,CRY
1013,KVU
1014,PVU
1015,PVRD
1016,PUK
1017,ORAI
1018,BMT
1019,SEM
1020,MYD
1021,HTL
1022,DJB
1023,LGT
1024,DKE
1025,MUPA
1026,KQI
1027,MBG
1028,WDA
1029,DJA
1030,PDJ
1031,MXR
1032,MGE
1033,LFG
1034,BF
1035,HFG
1036,JTG
1037,LJO
1038,MGX
1039,HJO
1040,DTC
1041,BXK
1042,DCA
1043,CNE
1044,BHZ
1045,HLX
1046,SQF
1047,BPB
1048,BPG
1049,PNGM
1050,KTX
1051,SCA
1052,ARCL
1053,SCL
1054,MND
1055,GKC
1056,GB
1057,CSB
1058,TKJ
1059,ANVR
1060,SBB
1061,PKW
1062,GMS
1063,GJL
1064,NRS
1065,SMBL
1066,RJK
1067,AFR
1068,PRKE
1069,DUB
1070,KEG
1071,RBK
1072,AO
1073,NSU
1074,BTG
1075,JEP
1076,ARW
1077,KYT
1078,CAR
1079,DAP
1080,PRE
1081,JHG
1082,BDL
1083,BEO
1084,GAE
1085,JIA
1086,MNF
1087,UND
1088,MJA
1089,BEP
1090,KCN
1091,NYN
1092,PFM
1093,SWE
1094,DLPR
1095,MEM
1096,BTJ
1097,VPO
1098,CIL
1099,JGJ
1100,ANTU
1101,MFL
1102,TLKH
1103,BANI
1104,KCJ
1105,FTG
1106,RUM
1107,GANG
1108,HCP
1109,KVG
1110,SAGR
1111,NHN
1112,KKAH
1113,MLJ
1114,UTR
1115,BLPU
1116,DTO
1117,GHD
1118,GHQ
1119,NUQ
1120,DXN
1121,RNQ
1122,CPU
1123,AGY
1124,CUK
1125,RBGJ
1126,LUSA
1127,SKGH
1128,RMC
1129,LGO
1130,KHNM
1131,GRMR
1132,PQN
1133,UCR
1134,LMN
1135,BBA
1136,SORO
1137,ROP
1138,BTQ
1139,BPO
1140,AH
1141,KMNC
1142,MKN
1143,SMR
1144,BLT
1145,BME
1146,SDB
1147,DUD
1148,HG
1149,IDR
1150,BJP
1151,BSRX
1152,LMT
1153,BGK
1154,RGU
1155,JMP
1156,BGP
1157,ODHA
1158,KOO
1159,KJH
1160,AHA
1161,BUP
1162,SGG
1163,RHA
1164,KNJ
1165,BTY
1166,PLY
1167,BEB
1168,BPC
1169,MBB
1170,JJG
1171,LGL
1172,BG
1173,ALER
1174,ZN
1175,RGP
1176,GNP
1177,PQL
1178,HSP
1179,OPL
1180,BGSF
1181,PTKP
1182,OEA
1183,KOLR
1184,KYOP
1185,RGPM
1186,PPZ
1187,RVKH
1188,MMZ
1189,ASAF
1190,DNN
1191,GSP
1192,DHW
1193,BAT
1194,VKA
1195,GNA
1196,BNN
1197,TAPA
1198,PUL
1199,BCU
1200,CCT
1201,SAP
1202,NDKD
1203,MRGA
1204,NLDA
1205,VKB
1206,TDU
1207,MKC
1208,SFY
1209,BRRG
1210,RTA
1211,GUNA
1212,SVPI
1213,SAC
1214,MLAR
1215,GOA
1216,SONI
1217,BIX
1218,GMIA
1219,BRKA
1220,OBR
1221,SGRL
1222,BEHR
1223,DMO
1224,PHA
1225,SGO
1226,KYE
1227,TLHD
1228,NPD
1229,HSK
1230,SFC
1231,MCS
1232,PDY
1233,MHRG
1234,LHU
1235,SDLP
1236,CUR
1237,RTGH
1238,RJR
1239,SDGH
1240,SDF
1241,NPS
1242,CLT
1243,CAN
1245,UD
1246,MRDW
1247,KUDL
1248,RN
1249,MNI
1250,PNVL
1251,DKBJ
1252,COM
1253,GND
1254,RGS
1255,SIKR
1256,LNH
1257,FPS
1258,RSWT
1259,BUB
1260,JSM
1261,SBLT
1262,AQG
1263,RDRA
1264,PLC
1265,KLYT
1266,GJN
1267,KNNK
1268,RXW
1269,NOA
1270,GOZ
1271,MELH
1272,KLYN
1273,DUS
1274,UDS
1275,SRDR
1276,NRWI
1277,HSWS
1278,SDMK
1279,AUS
1280,KALN
1281,TSD
1282,GAMI
1283,DPLN
1284,NHR
1285,KNNA
1286,ENB
1287,TLI
1288,TIBI
1289,SJSM
