,T_Num,Train,From,To,Days,Mon,Tue,Wed,Thurs,Fri,Sat,Sun
7,22438,PRYJ HUMSAFAR,Anand Vihar Terminal,Prayagraj Jn.,Tu Th Su,0,1,0,1,0,0,1
8,22460,BV DHAM HUMSAFR,Anand Vihar Terminal,Madhupur Jn,M,1,0,0,0,0,0,0
9,16320,KCVL  HUMSAFAR,Banaswadi,Kochuveli,F Su,0,0,0,0,1,0,1
10,22354,HUMSAFAR EXP,Banaswadi,Patna Jn,Su,0,0,0,0,0,0,1
11,22913,SHC HAMSAFAR EX,Bandra Terminus,Saharsa Jn,Su,0,0,0,0,0,0,1
12,22923,JAM HUMSAFAR,Bandra Terminus,Jamnagar,M Th Sa,1,0,0,1,0,1,0
13,12503,BNC AGTL EXP,Bangalore Cant,Agartala,Tu,0,1,0,0,0,0,0
14,22833,HUMSAFAR EXPRES,Bhubaneswar,Krishnarajapurm,W,0,0,1,0,0,0,0
15,22986,RAJ HAMSAFAR EXP,Delhi S Rohilla,Udaipur City,Su,0,0,0,0,0,0,1
16,22867,NZM HUMSFAR EXP,Durg,Hazrat Nizamuddin,Tu F,0,1,0,0,1,0,0
17,12571,ANVT HUMSAFAR,Gorakhpur,Anand Vihar Terminal,W F Sa Su,0,0,1,0,1,1,1
18,12595,ANVT HUMSAFAR,Gorakhpur,Anand Vihar Terminal,M Tu Th,1,1,0,1,0,0,0
19,12751,JAT HUMSAFAR,H Sahib Nanded,Jammu Tawi,F,0,0,0,0,1,0,0
20,22868,DURG HUMSFAR,Hazrat Nizamuddin,Durg,W Sa,0,0,1,0,0,1,0
21,20889,TPTY HUMSAFR EX,Howrah Jn,Tirupati,Sa,0,0,0,0,0,1,0
22,22887,YPR HUMSAFAR,Howrah Jn,Yasvantpur Jn,Tu,0,1,0,0,0,0,0
23,20414,MAHAKAL EX,Indore Jn Bg,Varanasi Jn,W F,0,0,1,0,1,0,0
24,20416,MAHAKAL SUP,Indore Jn Bg,Varanasi Jn,M,1,0,0,0,0,0,0
25,12752,NED HUMSAFAR,Jammu Tawi,H Sahib Nanded,Su,0,0,0,0,0,0,1
26,22318,SDAH HUMSAFAR,Jammu Tawi,Sealdah,W,0,0,1,0,0,0,0
27,22706,TPTY HAMSAFAR,Jammu Tawi,Tirupati,F,0,0,0,0,1,0,0
28,22924,BDTS HUMSAFAR,Jamnagar,Bandra Terminus,Tu F Su,0,1,0,0,1,0,1
29,16319,BAND HUMSAFAR,Kochuveli,Banaswadi,Th Sa,0,0,0,1,0,1,0
30,22834,BBS HUMSAFAR,Krishnarajapurm,Bhubaneswar,Th,0,0,0,1,0,0,0
31,12235,ANVT HUMSFR EXP,Madhupur Jn,Anand Vihar Terminal,F,0,0,0,0,1,0,0
32,22459,ANVT HUMSAFAR,Madhupur Jn,Anand Vihar Terminal,Tu,0,1,0,0,0,0,0
33,22919,ADI HUMSAFAR,Mgr Chennai Ctr,Ahmedabad Jn,W,0,0,1,0,0,0,0
34,12276,PRYJ HUMSFAR EX,New Delhi,Prayagraj Jn.,M W F Sa,1,0,1,0,1,1,0
35,22353,HUMSAFAR EXP,Patna Jn,Banaswadi,Th,0,0,0,1,0,0,0
36,12275,NDLS HUMSAFAR,Prayagraj Jn.,New Delhi,Tu Th F Su,0,1,0,1,1,0,1
37,22437,ANVT HUMSAFAR,Prayagraj Jn.,Anand Vihar Terminal,M W Sa,1,0,1,0,0,1,0
38,20821,PUNE SRC SUP EXP,Pune Jn,Santragachi Jn,M,1,0,0,0,0,0,0
39,22139,AJNI HUMSAFAR,Pune Jn,Ajni (Nagpur),Sa,0,0,0,0,0,1,0
40,22171,RKMP HUMSAFAR,Pune Jn,Rani Kamlapati(Bhopal),Su,0,0,0,0,0,0,1
41,20974,AJMER HUMSAFAR,Rameswaram,Ajmer Jn,Tu,0,1,0,0,0,0,0
42,22169,SRC HUMSAFAR,Rani Kamlapati(Bhopal),Santragachi Jn,W,0,0,1,0,0,0,0
43,22172,PUNE HUMSAFAR,Rani Kamlapati(Bhopal),Pune Jn,Sa,0,0,0,0,0,1,0
44,22914,BDTS HUMSAFAR,Saharsa Jn,Bandra Terminus,Tu,0,1,0,0,0,0,0
45,20822,PUNE HUMSAFAR,Santragachi Jn,Pune Jn,Sa,0,0,0,0,0,1,0
46,22170,RKMP HUMSAFAR,Santragachi Jn,Rani Kamlapati(Bhopal),Th,0,0,0,1,0,0,0
47,22317,HUMSAFAR EXP,Sealdah,Jammu Tawi,M,1,0,0,0,0,0,0
48,22497,TPJ HUMSFAR EXP,Shri Ganganagar,Tiruchchirappalli Jn,M,1,0,0,0,0,0,0
49,22498,SGNR HUMSAFAR,Tiruchchirappalli Jn,Shri Ganganagar,F,0,0,0,0,1,0,0
50,20890,HWH HUMSAFAR SF,Tirupati,Howrah Jn,Su,0,0,0,0,0,0,1
51,22705,JAT HUMSAFAR,Tirupati,Jammu Tawi,Tu,0,1,0,0,0,0,0
52,22985,RAJ HUMSAFAR EXP,Udaipur City,Delhi S Rohilla,Sa,0,0,0,0,0,1,0
53,20413,MAHAKAL SF EXP,Varanasi Jn,Indore Jn Bg,Tu Th,0,1,0,1,0,0,0
54,20415,MAHAKAL SF EXP,Varanasi Jn,Indore Jn Bg,Su,0,0,0,0,0,0,1
55,22888,HWH HUMSAFAR,Yasvantpur Jn,Howrah Jn,Th,0,0,0,1,0,0,0
0,22921,GKP ANTYODAYA,Bandra Terminus,Gorakhpur,Su,0,0,0,0,0,0,1
1,14719,BKN BSP ANTYODAYA EXP,Bikaner Jn,Bilaspur Jn,W,0,0,1,0,0,0,0
